Movie;U1;U2;U3;U4;U5;U6;U7;U8;U9;U10;U11;U12;U13;U14;U15;U16;U17;U18;U19;U20;U21;U22;U23;U24;U25;U26;U27;U28;U29;U30;U31;U32;U33;U34;U35;U36;U37;U38;U39;U40;U41;U42;U43;U44;U45;U46;U47;U48;U49;U50;U51;U52;U53;U54;U55;U56;U57;U58
Dark Knight. The;4;2.5;2.5;3;3;5;4.5;3;4.5;4.5;4;3.5;3.8611;4;3.8611;4.5;3.5;4;3.8611;5;3.5;3.5;5;3.8611;3.8611;4;4.5;3;4.5;3.5;3.8611;3.5;3;3.8611;5;3.5;4;5;4.5;3.8611;3.8611;3.8611;3.8611;3.8611;3.8611;3.8611;3;3;3.8611;3.8611;3.8611;3.8611;3.8611;3;3.8611;3.8611;3.8611;5
Lord of the Rings: The Return of the King. The;3.5;3;0;3.5;3.8646;4;2.5;5;3.5;4;4.5;4;5;3;5;4.5;4;5;2.5;5;5;4;5;3;3.8646;2.5;4;3.5;2.5;3.8646;4;4.5;5;5;3;5;3.8646;3.8646;5;5;3.8646;4;3.8646;3.8646;4;4;3.5;4.5;1;4;4.5;3;5;3.8646;3.8646;3;3.5;4
Bourne Ultimatum. The;3.5;3.6875;2.5;4.5;3.5;3;2.5;3.5;4.5;3;4;5;3.6875;3.6875;5;3.6875;3;3;3.6875;3.5;2.5;2.5;3;4.5;3.6875;5;4;3.5;4.5;3.6875;2.5;3.5;4;4.5;4;3.6875;3.6875;3.6875;4;5;3.6875;3.5;3.6875;3.6875;3.5;4.5;3.5;4.5;4;2;3.6875;4.5;3.6875;2;3.6875;3.6875;3.6875;4.5
WALL·E;1.5;4.5;3.7903;3.7903;3.7903;2.5;4.5;4.5;3.5;4.5;5;3;3.7903;3;4.5;5;3;4.5;3.7903;3.5;3;3.7903;4.5;3.7903;3.7903;3.7903;3.7903;3.7903;4.5;4;1.5;3.7903;4;4;5;4.5;3.5;3.7903;3.7903;3.7903;3.7903;3;3.7903;3.7903;3.7903;3.7903;3.7903;4;3.7903;3.7903;3.7903;3.7903;3;5;5;2;3.7903;3.7903
Finding Nemo;2.5;3.5;3.5;3.5;3.8365;2;4.5;5;3.5;4.5;5;3;2.5;3.5;5;4.5;3;4.5;5;3;3;4.5;5;5;4;4;4.5;3.8365;3;5;3;2.5;3.5;3;4.5;4;1.5;5;3;4;4.5;3;4;3.8365;3;3;3.5;4;3.8365;3.8365;3.8365;5;4.5;5;5;4;4;3.5
Incredibles. The;2.5;3;4.5;3.4022;3.4022;3;4;4;3.4022;2.5;4.5;2.5;4;3;4.5;3.5;3;4.5;1.5;3.5;2.5;4.5;4.5;4.5;3.4022;3;4;4;3.4022;4;3.5;3;3.5;3.5;5;2.5;2.5;3.4022;1.5;5;3.4022;3.5;3.5;3.4022;3.4022;2;3.4022;3;2.5;3.4022;3.4022;3.5;0;4;4;3.5;4;4
Ratatouille;3.5;3.5;3;3.2941;3.2941;2;4.5;4.5;2.5;3;4.5;2.5;3.2941;3.5;4;3.2941;3.2941;2;3.2941;3.5;2.5;3.2941;3.2941;3.2941;3;3.2941;3.2941;3.2941;3;3.2941;3;3.2941;2;3.2941;5;4;4.5;3.2941;4.5;3.5;3.2941;3.5;4.5;3.2941;3.2941;3.2941;3.2941;2.5;2.5;3.2941;3.2941;3.5;0;4.5;3;4.5;3.2941;2
Monsters. Inc.;4;4.5;5;3.9043;3.9043;3.9043;4.5;4;4;1.5;4.5;4;4;3.5;5;4.5;3;5;3.9043;3.9043;5;4;5;4.5;5;3.5;3.5;3.9043;3.5;2;4;3;3;4;5;3;4.5;2;4;5;3.9043;3;4.5;3.9043;3.5;4;4.5;4;3.9043;3.9043;3;4.5;2.5;5;5;3;3.9043;2.5
Shrek;4;4.5;5;4.5;3;3.5;5;4.5;3.5;2;5;4;3.5;4.2807;5;5;4;5;5;4.5;5;4.5;5;4;4;4.5;4;4;3.5;5;4.5;3.5;4;4;5;4;4.5;5;4.5;5;4.5;4;4;4;4;5;4;3.5;3.5;3.5;3.5;5;5;5;5;4.5;3.5;4.5
Schindler's List;5;5;5;4.5286;4;4;4.5286;5;4;4;4.5286;4.5286;4.5286;4.5286;4.5286;5;4.5286;4.5286;4.5286;4.5286;4.5;4.5;5;4.5286;5;1.5;4.5286;4.5;4.5;4.5286;5;3.5;5;5;4.5;4.5286;4.5286;5;5;5;5;4.5;5;4.5286;4.5286;5;4.5;4.5;4.5;4.5;3;4.5;4.5286;4.5286;4.5286;4.5286;4.5286;5
There's Something About Mary;3;2.5;2;3.5;3;4;3.5;3;2.5;4;4.5;2;2;3;3;3.5;3.5;2.84;2;3.5;2.5;2.5;4;3.5;3.5;3.5;3;4;3.5;2.84;1.5;2.5;3;3;2.5;2;0;2.84;2.84;4;0.5;4;2.5;2.5;2;2.84;1.5;0.5;2;4;2.84;4.5;3;2.84;0.5;3.5;2.84;4.5
Pirates of the Caribbean: The Curse of the Black Pearl;2.5;2.5;2;4;3;4;5;4;4;3;5;3;3.7404;4;4.5;4;3;5;4;5;3.5;3;5;4;4;5;4;4;3.5;0.5;3;2.5;4;4;4;4.5;2;3.7404;3.5;3.7404;4;3;5;3;3.7404;4.5;3.7404;5;3;2;3.5;4.5;4;4;5;3.7404;4.5;4
Other Side of the Bed. The;3;3.5;3.5;3.5;3;3.5;3.1375;3.5;3.5;2;3.5;1.5;3;3.5;4.5;3.1375;2.5;3.1375;1.5;3.1375;3.1375;3.1375;4;4;3.1375;3.5;3.1375;3;3;3.1375;4.5;4;2.5;3.5;3.1375;0.5;2.5;5;3.1375;3.1375;4.5;3.5;3.1375;2.5;3.5;4;3;0;2;2.5;3.1375;3.1375;3;4;4;3.1375;3.1375;3.1375
Pulp Fiction;3.973;3.973;3.973;4;5;4.5;3.973;4.5;5;1.5;4.5;3.973;3.973;4;3.973;3.5;3;2;5;3.973;2.5;4.5;4.5;3.973;4.5;2;3.973;4;4;3.973;4;4;4.5;5;5;3.973;3.973;3;5;5;3.973;5;4;3.973;5;4.5;4.5;0.5;2;4.5;4;3.973;3.973;3.973;3.973;3.973;3.973;5
Sin City;3.5;4;5;3;5;4;2.5;3.5;5;3.5;2.5;3;3.6111;4;3.6111;4.5;3;3;3.5;4;2.5;3.6111;3.6111;3.6111;3.6111;3.5;2.5;4.5;3.5;3.6111;3.6111;3.6111;4.5;3.5;4.5;3;3.6111;3;4.5;3.6111;3.6111;3.6111;3.6111;3.6111;4.5;4;3.6111;4.5;1.5;4.5;3.6111;0;3.6111;3.6111;3.6111;3.6111;3.6111;5
Bowling for Columbine;4.0652;4.0652;4.0652;4.0652;4.5;3.5;4.5;4.0652;4;1.5;5;4.0652;4.0652;4.0652;4;4;4.0652;3;4.0652;4.0652;3.5;3;4.0652;4.0652;4.0652;4.5;4.0652;4.0652;4;4.0652;4.0652;4.5;5;5;4.0652;4.0652;4;4.0652;4.0652;5;4.0652;4.5;4.0652;4.0652;4.0652;4.0652;4.0652;4;4.0652;4.0652;4;4.0652;4.5;4.0652;4;4.0652;4.0652;4.0652
Super Size Me;4.5;3.7333;4;3.7333;3.7333;2.5;4.5;4;3.7333;1.5;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.5;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3;3.7333;3.7333;3.7333;5;5;3.7333;3.7333;4.5;3.7333;3.7333;3.7333;3.7333;3.5;3.7333;3.7333;1.5;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;3.7333;4.5;3.7333;3.7333;3.7333;4.5;3.7333
City of God;4.1111;4.1111;4.5;3.5;5;4.1111;4.1111;4.5;2.5;1.5;4.1111;4.1111;4.1111;4.1111;4.1111;4.1111;4.1111;4.1111;5;4.1111;4.1111;4.1111;4.1111;4.1111;4.1111;4.1111;3.5;4.1111;4;4.1111;4.1111;4.1111;5;5;4;4.1111;4.1111;4.1111;4.1111;4.1111;5;5;4.1111;4.1111;4.1111;4;3.5;4.1111;4.1111;4.1111;4.5;4;4.1111;4.1111;4.1111;4.1111;4.1111;4.1111
Pan's Labyrinth;4.5;2;1.5;3.4189;2.5;3;3.4189;4;3.4189;4;4.5;3;3.4189;4.5;4;4;2;3.4189;3.4189;3.5;3;4.5;5;3.4189;3.4189;0;3.4189;3.4189;4;3.4189;4;3.5;4;4.5;3.4189;4.5;5;1.5;4;5;3.4189;4;3.4189;3.4189;3.4189;3.4189;3.4189;0;2;3.5;4;2.5;3;3;5;3.4189;3.4189;3.4189
Star Wars: Episode III - Revenge of the Sith;0.5;2.5;1.5;3.5;3;4;5;5;3.5238;4;5;4;2.5;3.5;5;4;4.5;4.5;3.5238;3.5;4.5;3.5238;5;3.5238;3.5238;3.5;3.5;2.5;4;3.5238;3.5238;3;5;5;3.5;3;3.5238;3.5238;4;3.5238;3.5238;3.5;3.5238;3.5238;0;3.5;3;4;3.5238;3.5;5;1.5;4.5;0.5;3.5238;3.5;3.5238;3.5
Fantastic Four;2.9063;2.5;2.9063;2.9063;2.5;2.5;1.5;4;2.9063;3.5;1.5;2;2.9063;3.5;3.5;2.5;3;4.5;2.9063;3;3;2.9063;3.5;4.5;2;5;3;2;2.5;2.9063;2.9063;2.9063;3;2.9063;2.5;2.9063;2.9063;2.9063;2.9063;2.9063;2.9063;2.9063;2.9063;2.9063;2.9063;2.9063;4;4;2;1.5;2.9063;3.5;2.5;2.5;2.9063;2.9063;2.9063;2
Exorcist: The Beginning;2.8542;3.5;2.8542;2.8542;2.5;2.8542;2.8542;4;4;3;2.8542;2.8542;2.8542;2.5;2.8542;2;2.8542;2;2.8542;2.8542;0;3;2.8542;2.8542;2.8542;0.5;2.8542;2.8542;2.8542;2.8542;2.8542;0;4;2.8542;2.8542;2.8542;2.8542;3.5;2.8542;5;2.5;3.5;4.5;2.8542;2.8542;2.8542;3;2.8542;3;3;2.8542;4;2.8542;4;2.8542;2.8542;2.8542;1.5
Seven;4.5;4.5;3.5;4.5;4.5;4.5;4.2381;4.5;5;4;3.5;4.2381;4.2381;4;4.2381;4.5;4.5;3;4.5;4.2381;2;4;4;3.5;4.5;4.2381;5;4;5;4.2381;4.2381;4;4.5;5;4.5;5;4.2381;5;4;5;5;3.5;4;5;4.5;4.2381;3.5;4;3.5;3;4.2381;4.2381;4.2381;4.2381;5;4.2381;4.2381;4.5
Game. The;3.5;3;4;4;3.5;3.7115;3.7115;3.5;3.7115;1.5;2.5;3.7115;3.7115;3.7115;3.7115;3.7115;3.7115;3.7115;3.7115;3.7115;3.7115;3.7115;4;3.7115;3.7115;4.5;3.7115;3.7115;3;3.7115;4.5;4.5;4.5;4.5;3.7115;3.7115;0;4;3.7115;5;4.5;3.7115;5;3.7115;3;3.7115;3.7115;3.7115;3.5;4;3.7115;3.7115;3.7115;3;5;3.7115;3.7115;4.5
Pretty Woman;4.5;2.5;2.5;3.5;3.3148;3.5;3.5;4;3;4;3;3;3.5;3.5;3.5;5;3;4;5;3.3148;4;2;4.5;5;3.5;0.5;3.5;4;3;3.3148;2;1.5;2.5;3.5;2.5;2.5;5;4;0;5;4;2.5;3.5;2.5;0.5;3.3148;3.5;5;2.5;1;2.5;5;2.5;4;5;5;4.5;2.5
Matrix. The;4;1.5;0;4;4;5;3;4.5;3.5;4.5;4.5;3.5;4;4;4;4.5;5;5;2.5;3;3;3.5;5;4;3.6827;5;4;4.5;4.5;3.5;3.6827;3.5;5;4.5;4;4;2.5;0;4.5;5;4.5;3.5;4.5;3.6827;4;3.6827;3.5;5;3.5;3.5;4;0;2;2;3.6827;2.5;3.6827;5
Terminator 2: Judgment Day;3.5;0.5;3.2973;3.5;3.2973;4;3.2973;4;3.5;4.5;3.5;1.5;3.2973;2;3.2973;5;3.5;5;3.2973;3.2973;3.5;3.2973;4.5;4;3.2973;5;3;3.5;3.2973;3.2973;3.2973;3.5;5;3.2973;3.5;4;2;1.5;4;3.2973;3.2973;1.5;3.2973;3.2973;3.2973;3.5;3.5;4.5;4.5;0.5;2.5;0;3;2.5;3.2973;3.2973;3.2973;5
X-Men;3;3.5;3.5366;3;2;4;3;4;3.5366;4.5;4;4.5;3.5366;4;4.5;4;3;5;3.5366;4;3.5;2.5;5;5;3.5366;4;3;4.5;3.5;3.5366;3.5366;2.5;3.5;3.5366;3;2.5;3;3.5366;3.5;3.5366;3.5366;3.5366;3.5;3.5366;3.5366;3;4;4.5;2.5;2;3.5;4;4;2;3.5366;3.5366;3.5366;3
Sixth Sense. The;4;4;3;4;4;4;4.5;4;4;3.5;3;3.5;3.52;3.5;3.5;4;3.5;3.52;3;3.5;0.5;3.5;5;3.5;4;5;3.52;3.5;3.5;3.52;4;3;4;4;4;2.5;3.52;4.5;4;4;0;2.5;4;3;3;3.5;3.5;3;3.5;2.5;2.5;2.5;3.52;4.5;5;3.52;3.52;4
Mission: Impossible III;2.5;2.2656;2.2656;3;2.2656;3;2;3.5;2.2656;2.5;2.2656;2;3.5;3;2.2656;2.5;3;2.5;2.2656;2.2656;3;1.5;0;4.5;2.2656;2.5;2;2.2656;2.2656;2.2656;2.2656;0;2.2656;2.2656;3;0;2.2656;2;0.5;2.2656;2.2656;2;2.2656;2.2656;2;2.5;3.5;2.5;1;2.2656;2.2656;2.2656;2.2656;0.5;2.2656;2.5;2.2656;4
300;4.5;2.5;3.8947;4.5;5;4.5;3.8947;3.5;4;3.5;3.8947;4;3.8947;3.5;3.8947;5;4;4;3.8947;5;3.5;2;5;5;4;0.5;3.5;5;3.5;3.8947;3.8947;3.5;3.5;3.8947;3.5;3.5;4;3.8947;3;3.8947;3.8947;3;3.8947;3.8947;4.5;5;3.8947;4;3.8947;3.5;3.8947;3.8947;3;3.8947;5;3.8947;4.5;5
Troy;3.337;3;2;4;4;3.5;2;3.5;3.337;3;2;3;3.337;3.5;2;2;3.5;4.5;4.5;4.5;4;1.5;5;4.5;3.337;2.5;3.5;2.5;2.5;4;3.337;2.5;3;4.5;3.5;1.5;3.337;2.5;3.5;3.337;3.337;3.5;2;3.337;3.5;4;3.337;4;3.337;3.5;3.337;4.5;4;4;4;4;4.5;2.5
Transformers;2.9038;3;2.9038;3;2.9038;3;2.9038;3;3.5;3;2.9038;2.5;2.9038;2.9038;2.9038;3.5;3.5;3;2.9038;4;2.5;2.9038;2.5;2.9038;2.9038;4.5;3.5;3;2.9038;3.5;2.9038;2;3;2.9038;2.5;2;2.9038;2.9038;0;2.9038;2.9038;2.9038;2.9038;2.9038;2.9038;2.9038;2.9038;4;2.9038;2.9038;2.9038;0;2.9038;2.9038;2.9038;4;2.9038;3.5
No Country for Old Men;3.2692;3.2692;4;3.2692;3.5;3;3.2692;3.5;4;1.5;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;4;3.2692;3.2692;3.2692;3.2692;4;3.2692;3.2692;3.2692;3.2692;3.2692;3;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;2.5;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;4;3.2692;3.2692;1.5;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;3.2692;4
Sea Inside. The;4;0.5;3;3.5345;3.5345;3.5345;3.5345;4;4;1.5;4.5;3.5345;3.5345;4;4.5;3.5345;3.5345;3.5345;3.5345;3.5345;3.5345;3.5;4;3.5345;3.5345;3.5345;3.5345;3.5345;2.5;3.5345;3;2.5;2.5;4.5;3.5;4.5;5;3.5;3.5345;3.5345;5;3.5345;3.5345;0.5;3;3.5345;3.5;3.5345;3.5345;4;3.5345;5;3.5345;4;4;4.5;3.5345;3.5345
Pianist. The;4.2121;4.2121;5;3.5;4.5;4;4.2121;4;4;3.5;4.2121;3.5;4.2121;4;4.2121;4.5;4.2121;4.2121;4.5;4.5;4.2121;4.5;4.5;4.2121;4.2121;4.5;4.2121;4.5;3.5;4.2121;4;3;4.2121;4.2121;4.2121;4.5;4;4.2121;4.2121;4.2121;5;4.5;4;4.2121;4.2121;5;4.2121;4.2121;4.5;3;4.5;4.2121;5;5;4;3.5;4.2121;4.5
Million Dollar Baby;3.8286;3;3.5;3.5;4.5;3.5;3.5;4.5;4.5;4;3.8286;3;3.8286;3.8286;3.8286;3.8286;3.5;3.8286;3.8286;3.8286;2;4;3.8286;3;4;3.8286;5;4.5;3;3.8286;3.8286;3.5;5;5;4;3.8286;5;5;5;3.8286;5;3.8286;3.8286;5;3.8286;3.8286;4;0.5;2.5;2.5;3.5;3;4;3.8286;3.8286;3.8286;3.8286;5
Orphanage. The;3.5;3.5;4;4;2;3.5;3.4394;4;3.4394;3;2.5;2.5;3.4394;4;3.4394;3.4394;3.4394;3.4394;3.4394;3.4394;3.4394;3.4394;4.5;3.4394;3.4394;3.4394;3.4394;3.4394;3.5;3.4394;4;0;4.5;5;3.5;3.4394;3.5;2.5;3.5;4;5;3.5;3.4394;3;3.4394;3.4394;3.5;3.4394;3;3.4394;3;4;4;2.5;4;3;3.4394;3.4394
Titanic;3.5093;4.5;5;3.5;2.5;3.5;0.5;3.5;3;4.5;3.5;3;3;4;4;4.5;3.5;3.5093;4;4;2;2.5;3;3.5;4;3.5;5;4.5;2.5;4.5;2.5;3.5;2;5;4.5;2;4;2.5;2;3.5093;4;2;3.5;4;0;4;4;4;3;2.5;3;5;5;5;4;5;3.5093;4.5
Silence of the Lambs. The;4.5;5;5;3.5;3.5;4;4.131;4;4.5;4.5;2.5;3.5;4.131;4.131;4.131;5;4.131;3.5;4.131;4.131;3.5;4;4.5;4.131;4;4.131;4.131;5;4;4.131;2.5;2;4.5;4.131;4;5;4.5;5;4.5;5;4;4;4;5;4;4;4;4.5;4;3;4.131;4.131;5;4;4;4.131;4.131;5
Brokeback Mountain;3.2241;3;2.5;3.2241;3.2241;2.5;3.5;4.5;4;2.5;4;3.2241;3.2241;3.5;3.5;3.2241;2.5;3.2241;3.2241;2;1.5;2.5;5;3.2241;3.2241;3.2241;3.2241;3.2241;3.5;3.2241;3.2241;2;4.5;4.5;3.2241;3.2241;5;3.2241;3.2241;5;4.5;3.2241;2;4.5;0;3;3.2241;0;3.2241;3.2241;3;5;3.2241;3.2241;3.2241;3.2241;3.2241;3.2241
[Rec];3.0893;3.5;2.5;3.0893;3;3.0893;3.0893;4;4;1.5;5;3.0893;3.0893;3.5;4.5;2.5;3.0893;3.0893;2.5;3.0893;0.5;3.5;3.0893;3.0893;3.0893;4.5;3.0893;3.0893;2;3.0893;3.0893;0;3.0893;3;3.0893;3.0893;3.5;0.5;3.0893;3;3.0893;3;4;4.5;3.0893;3.0893;3.0893;3.0893;3.0893;3;3.0893;4.5;3.5;3.5;3.0893;3.5;3.0893;3.0893
Volver;2.7885;2;1.5;3.5;2.7885;3.5;2.7885;3;0;3;2.7885;2;2.7885;2.5;2.7885;4.5;2.7885;3;3.5;2.7885;2.7885;2.7885;2.7885;2.7885;2.7885;2.7885;2.7885;2.7885;3;2.7885;2.7885;0;4;2.7885;4;4;2.7885;0;2.7885;2.7885;2.7885;2.7885;2.7885;0;3.5;2.7885;4.5;2.7885;2.7885;2.7885;3;3.5;2.5;3.5;5;2.7885;2.7885;2.7885
Sweeney Todd: The Demon Barber of Fleet Street;2;4;5;3.7174;3.7174;3.5;4;5;3.7174;1.5;3.5;4;3.7174;5;4;3.5;3.7174;3.7174;3.7174;3.5;3.7174;3.7174;2.5;3.7174;3.7174;3.7174;3.7174;3.7174;4.5;3.7174;3.7174;3.7174;3.7174;3.7174;4;5;5;3.7174;3.7174;3.7174;3.7174;3.7174;2;3.7174;3.7174;3.7174;3.7174;1.5;3.7174;3.7174;3.7174;5;2.5;3.7174;5;3.7174;3.7174;3.7174
Changeling;3.7273;3.7273;3.7273;3.7273;3.7273;4;3.7273;4;3.7273;3.5;3.7273;2.5;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;5;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;2.5;3.7273;3.7273;3;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;5;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;4.5;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;3.7273;3;3.7273;3.7273;4;3.7273;3.7273;3.7273
English Patient. The;4;3.5;3.46;3.46;3.46;3.46;3.46;4.5;3.46;3.5;3;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;1.5;3.46;2.5;3.46;3.46;3.46;3.46;4;3.5;3.46;3.46;3;3;4;4;3.5;3.46;3.46;3.46;3.46;3.5;4;3.5;3.46;3.46;4.5;4;3.5;2.5;3.5;3.46;3.46;3.46;4;3.46;2;3.46;4
Hotel Rwanda;4.1842;4.1842;4.1842;4.1842;4.5;4.1842;4.1842;4.5;3.5;3;4.1842;4.1842;4.1842;4.1842;4.1842;4.1842;4.1842;4.1842;4;4.1842;4.1842;4.1842;4.1842;4.1842;4.5;4.1842;4.1842;4;3;4.1842;4.1842;4.5;4.5;5;3;4.1842;5;4.1842;4.1842;5;4.1842;4.5;4.1842;4.1842;4.1842;5;4;4.1842;4.1842;3.5;4.1842;4.1842;4.1842;4.1842;4.1842;4.1842;4.1842;4.5
High School Musical;2.3529;2;2.3529;2.3529;2.3529;2.3529;2.3529;2.5;2.3529;0;1.5;2.3529;2.3529;1.5;3.5;2.3529;2.3529;1.5;2.3529;2.3529;2.5;2.3529;2.3529;4.5;2.3529;2.3529;2.3529;2.3529;2.3529;4.5;2.3529;2.3529;2.3529;2.3529;2.3529;0;2.3529;2.3529;2.3529;2.3529;2.3529;2.3529;3.5;2.3529;0;2.3529;2.3529;2.5;2.3529;2.3529;2.3529;3;2.3529;2.3529;3;4;2.3529;2.3529
Fahrenheit 9/11;4.5;3.8684;4.5;3.8684;4.5;3.8684;3.8684;4;3.5;1.5;4;3.8684;3.8684;3.8684;4;4;3.8684;3.8684;3.8684;3.8684;2.5;3.8684;3.8684;3.8684;3.8684;5;4;3.8684;3;3.8684;4;4.5;4;5;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;4.5;3.8684;3.8684;2.5;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684;3.8684
Mamma Mia!;3.575;4;4;3.575;3.575;3.575;3.575;3.575;3.575;0.5;4.5;3.575;3.575;3.5;5;3.575;3.575;3.575;3.575;3.575;3.575;3.575;3.575;3.575;3.575;3.575;3.5;3.575;3;3.575;3.5;1.5;3.575;2.5;3.575;3.575;2;3.575;3.575;3.575;5;3.575;5;3.575;3.575;3.575;3.575;3.5;3.575;3.575;3.575;5;4;4.5;4;3;3.575;3.575
